stage,lead_s,seed,tag,config_id,name,n_res,sr,leak,ridge,washout,lead_n,pred_n,win_s,rel_deg,amp_pred_deg,amp_leadend_deg,horizon,censored,horizon_strict,censored_strict,n_nonfinite,rms
Stage1,32.0,42,1447,nres1600_sr0.95_leak1.0_ridge1e-08_wo50,,1600,0.95,1.0,1e-08,50,1919,239,3.9849844120865896,81.89721341451065,64.69183146439828,64.2472824724791,0.2667771991355039,0,0.2667771991355039,0,0,142.5930919047322
Stage1,32.0,42,1447,nres1600_sr0.95_leak1.0_ridge1e-06_wo50,,1600,0.95,1.0,1e-06,50,1919,239,3.9849844120865896,81.89721341451065,64.69183146439828,64.2472824724791,3.9849844120865896,1,3.9849844120865896,1,0,3.440088158287201
Stage1,32.0,42,1447,nres1600_sr0.95_leak1.0_ridge0.0001_wo50,,1600,0.95,1.0,0.0001,50,1919,239,3.9849844120865896,81.89721341451065,64.69183146439828,64.2472824724791,3.9849844120865896,1,3.9849844120865896,1,0,2.734711902404214
Stage1,32.0,42,1448,nres1600_sr0.95_leak1.0_ridge1e-08_wo50,,1600,0.95,1.0,1e-08,50,1919,239,3.98499898628954,66.40461687758344,36.444098687186354,43.71134673871193,0.533556349628725,0,0.533556349628725,0,0,121.84937844037343
Stage1,32.0,42,1448,nres1600_sr0.95_leak1.0_ridge1e-06_wo50,,1600,0.95,1.0,1e-06,50,1919,239,3.98499898628954,66.40461687758344,36.444098687186354,43.71134673871193,2.084204490737207,0,2.084204490737207,0,0,9.619811492414545
Stage1,32.0,42,1448,nres1600_sr0.95_leak1.0_ridge0.0001_wo50,,1600,0.95,1.0,0.0001,50,1919,239,3.98499898628954,66.40461687758344,36.444098687186354,43.71134673871193,3.551484452216201,0,3.551484452216201,0,0,4.134505001589786
Stage1,32.0,42,1449,nres1600_sr0.95_leak1.0_ridge1e-08_wo50,,1600,0.95,1.0,1e-08,50,1919,239,3.9849958001944774,75.63886890830787,44.70686967206303,47.05082831606791,0.26677796151929556,0,0.26677796151929556,0,0,143.4437201576088
Stage1,32.0,42,1449,nres1600_sr0.95_leak1.0_ridge1e-06_wo50,,1600,0.95,1.0,1e-06,50,1919,239,3.9849958001944774,75.63886890830787,44.70686967206303,47.05082831606791,0.3167988293041635,0,0.3167988293041635,0,0,122.27719158120297
Stage1,32.0,42,1449,nres1600_sr0.95_leak1.0_ridge0.0001_wo50,,1600,0.95,1.0,0.0001,50,1919,239,3.9849958001944774,75.63886890830787,44.70686967206303,47.05082831606791,1.5339732787359495,0,1.5339732787359495,0,0,20.65519456779248
Stage1,32.0,42,1450,nres1600_sr0.95_leak1.0_ridge1e-08_wo50,,1600,0.95,1.0,1e-08,50,1919,239,3.984992390868854,74.13916690570532,44.59844140054752,40.018613536071605,0.21675690828993766,0,0.21675690828993766,0,0,139.5473879510913
Stage1,32.0,42,1450,nres1600_sr0.95_leak1.0_ridge1e-06_wo50,,1600,0.95,1.0,1e-06,50,1919,239,3.984992390868854,74.13916690570532,44.59844140054752,40.018613536071605,0.5168818582298513,0,0.5168818582298513,0,0,109.61737275273393
Stage1,32.0,42,1450,nres1600_sr0.95_leak1.0_ridge0.0001_wo50,,1600,0.95,1.0,0.0001,50,1919,239,3.984992390868854,74.13916690570532,44.59844140054752,40.018613536071605,1.4839511413695732,0,1.4839511413695732,0,0,30.538724346981528
