stage,lead_s,seed,config_id,name,n_res,sr,leak,ridge,washout,n_clips,median,q1,q3,mean,n_censored,cens_rate,median_estimable,median_is_lower_bound,median_strict,n_censored_strict,n_clips_nonfinite,rms_median,median_uncens,rank_in_lead
Stage1,8.0,42,nres1600_sr0.7_leak0.1_ridge0.0001_wo50,,1600,0.7,0.1,0.0001,50,29,0.3668193832598945,0.1500685620258082,0.6169223630690936,0.9337245589562021,4,0.13793103448275862,1,1,0.3668193832598945,4,0,48.19964520515857,0.2667781748143625,7.0
Stage1,8.0,42,nres1600_sr0.9_leak0.5_ridge1e-06_wo50,,1600,0.9,0.5,1e-06,50,29,0.3668193832598945,0.20008373098046306,0.6836184993378538,0.9940942556379316,5,0.1724137931034483,1,1,0.3668193832598945,5,0,70.76527423496256,0.3334778398917422,7.0
Stage1,8.0,42,nres1600_sr0.95_leak0.5_ridge1e-06_wo50,,1600,0.95,0.5,1e-06,50,29,0.3668192738469429,0.18340984128576565,0.583577257406418,0.9831701901270776,5,0.1724137931034483,1,1,0.3668192738469429,5,0,70.10916052916535,0.30013154205652626,10.0
Stage1,8.0,42,nres1600_sr0.95_leak0.1_ridge0.0001_wo50,,1600,0.95,0.1,0.0001,50,29,0.3501471638238698,0.16673661921231542,0.8336822124185961,0.9394744051444274,4,0.13793103448275862,1,1,0.3501471638238698,4,0,48.992278850225354,0.2334309029625672,11.0
Stage1,8.0,42,nres800_sr1.1_leak0.25_ridge1e-06_wo50,,800,1.1,0.25,1e-06,50,29,0.3501469534050088,0.15006973684208447,0.8837019418011778,1.1119595557866517,6,0.20689655172413793,1,1,0.3501469534050088,6,0,64.29703514336818,0.2667787914848532,12.0
Stage1,8.0,42,nres800_sr0.9_leak0.25_ridge1e-06_wo50,,800,0.9,0.25,1e-06,50,29,0.35014652921581035,0.16673661921231542,0.9003763399984734,0.9975440986123125,5,0.1724137931034483,1,1,0.35014652921581035,5,0,60.560715882814435,0.2751206923000069,13.0
Stage1,8.0,42,nres1600_sr1.1_leak0.25_ridge1e-06_wo50,,1600,1.1,0.25,1e-06,50,29,0.3501457749298993,0.13338929536985233,0.8003338340840855,1.0567647030373732,5,0.1724137931034483,1,1,0.3501457749298993,5,0,55.10596761158691,0.22509424877002715,14.0
Stage1,8.0,42,nres1600_sr0.95_leak0.25_ridge1e-06_wo50,,1600,0.95,0.25,1e-06,50,29,0.35014498501678304,0.15006295729108388,1.0004159530217294,1.0383668177446344,5,0.1724137931034483,1,1,0.35014498501678304,5,0,58.87976832986587,0.24176787136498312,15.0
Stage1,8.0,42,nres1600_sr1.1_leak1.0_ridge0.0001_wo50,,1600,1.1,1.0,0.0001,50,29,0.35014498501678304,0.1333892933619154,1.100459047714594,1.0147929065117967,4,0.13793103448275862,1,1,0.35014498501678304,4,0,66.14958371559003,0.3167985582699089,15.0
Stage1,8.0,42,nres1600_sr0.95_leak1.0_ridge0.0001_wo50,,1600,0.95,1.0,0.0001,50,29,0.333473509554878,0.13338879373623058,0.7002921212729234,0.9291240829169238,4,0.13793103448275862,1,1,0.333473509554878,4,0,73.79587104107614,0.2501142700430137,17.0
Stage1,8.0,42,nres800_sr0.7_leak0.25_ridge1e-06_wo50,,800,0.7,0.25,1e-06,50,29,0.3334732889571512,0.16673661670239426,0.850355856666968,1.0027197653525908,5,0.1724137931034483,1,1,0.3334732889571512,5,0,60.18401222036854,0.23343107193223744,18.0
Stage1,8.0,42,nres1600_sr1.1_leak0.5_ridge0.0001_wo50,,1600,1.1,0.5,0.0001,50,29,0.3334732889571512,0.15006261859582004,1.0004142429050944,1.0855106714294478,5,0.1724137931034483,1,1,0.3334732889571512,5,0,53.02240311842748,0.29178903121167554,18.0
Stage1,8.0,42,nres1600_sr0.9_leak1.0_ridge0.0001_wo50,,1600,0.9,1.0,0.0001,50,29,0.333472430868369,0.1500627982353473,0.7002921212729234,0.9584466118195597,4,0.13793103448275862,1,1,0.333472430868369,4,0,67.48829027542372,0.2667781748143625,20.0
Stage1,8.0,42,nres800_sr0.95_leak1.0_ridge0.0001_wo50,,800,0.95,1.0,0.0001,50,29,0.33347198434057645,0.16673603356679223,0.7503129694538302,0.8831285702872044,4,0.13793103448275862,1,1,0.33347198434057645,4,0,80.23671467307173,0.2834524659526565,21.0
Stage1,8.0,42,nres800_sr0.95_leak0.25_ridge1e-05_wo50,paper-ESN(w50),800,0.95,0.25,1e-05,50,29,0.316813888888845,0.16673661670239426,0.9503935307598397,1.0676887515956919,5,0.1724137931034483,1,1,0.316813888888845,5,0,56.875565253106764,0.266778463878655,22.0
Stage1,8.0,42,nres800_sr1.1_leak0.1_ridge0.0001_wo50,,800,1.1,0.1,0.0001,50,29,0.31679962450929366,0.18340956900347294,1.0004142429050944,1.0688380494035696,5,0.1724137931034483,1,1,0.31679962450929366,5,0,57.11595652548684,0.24176762760892423,23.0
