trial,model,level,rep,sigma_theta_deg,sigma_omega,dth1_deg,dw1,dth2_deg,dw2,horizon_s,censored
13,PINN,th0.45,5,0.45,0.0,0.32372402988150606,-0.0,-0.16269937617909108,0.0,6.025,0
13,PINN,th0.45,6,0.45,0.0,0.10232072757025226,0.0,0.2648695110709559,0.0,3.2,0
13,PINN,th0.45,7,0.45,0.0,-0.036350251106820386,-0.0,-0.22665524301328765,-0.0,4.316666666666666,0
13,PINN,th0.45,8,0.45,0.0,-0.3878342333075381,0.0,0.25510047190678287,0.0,1.825,0
13,PINN,th0.45,9,0.45,0.0,0.23608148189526537,-0.0,0.727740251259568,-0.0,1.825,0
13,PINN,th0.45,10,0.45,0.0,-0.5065647309103435,-0.0,-0.5911847054647348,-0.0,4.058333333333334,0
13,PINN,th0.45,11,0.45,0.0,0.33039021878075375,-0.0,-0.2946912623184647,0.0,4.633333333333334,0
13,PINN,th0.45,12,0.45,0.0,-0.3819730086958695,-0.0,-0.03488905404831061,0.0,2.941666666666667,0
13,PINN,th0.45,13,0.45,0.0,0.2149170349151337,-0.0,0.5596851291921042,-0.0,2.933333333333333,0
13,PINN,th0.45,14,0.45,0.0,0.39696633449671354,0.0,0.23572555381411747,-0.0,4.066666666666666,0
13,PINN,th0.45,15,0.45,0.0,0.1781598544664578,-0.0,-0.2853699123176095,0.0,6.033333333333333,0
13,PINN,th0.45,16,0.45,0.0,0.38412087450689464,-0.0,-0.4861351802707439,0.0,3.4916666666666667,0
13,PINN,th0.45,17,0.45,0.0,-0.4818819084819367,-0.0,0.4235404666236686,-0.0,1.8,0
13,PINN,th0.45,18,0.45,0.0,0.03463585062863017,-0.0,0.5645991957125814,0.0,1.825,0
13,PINN,th0.45,19,0.45,0.0,-0.4054560309887248,0.0,0.093524696239064,-0.0,1.8416666666666666,0
13,PINN,th0.5,0,0.5,0.0,-0.47650696039948826,-0.0,0.7970607211854358,-0.0,1.0,0
13,PINN,th0.5,1,0.5,0.0,0.1859172892978949,0.0,-0.1603400153752275,-0.0,6.55,0
13,PINN,th0.5,2,0.5,0.0,0.7206696354902988,-0.0,-0.039092434169077234,-0.0,3.5083333333333333,0
13,PINN,th0.5,3,0.5,0.0,-0.41577070421360757,0.0,-0.923842238699569,0.0,5.416666666666667,0
13,PINN,th0.5,4,0.5,0.0,0.4688011774933942,0.0,0.16166234686651368,0.0,6.55,0
13,PINN,th0.5,5,0.5,0.0,0.35969336653500666,-0.0,-0.18077708464343453,0.0,5.408333333333333,0
13,PINN,th0.5,6,0.5,0.0,0.11368969730028028,0.0,0.29429945674550656,0.0,3.2,0
13,PINN,th0.5,7,0.5,0.0,-0.04038916789646709,-0.0,-0.25183915890365294,-0.0,4.908333333333333,0
13,PINN,th0.5,8,0.5,0.0,-0.4309269258972645,0.0,0.2834449687853143,0.0,1.8166666666666667,0
13,PINN,th0.5,9,0.5,0.0,0.26231275766140594,-0.0,0.8086002791772977,-0.0,1.825,0
13,PINN,th0.5,10,0.5,0.0,-0.5628497010114927,-0.0,-0.6568718949608163,-0.0,4.066666666666666,0
13,PINN,th0.5,11,0.5,0.0,0.36710024308972633,-0.0,-0.32743473590940525,0.0,4.625,0
13,PINN,th0.5,12,0.5,0.0,-0.4244144541065217,-0.0,-0.03876561560923401,0.0,2.933333333333333,0
13,PINN,th0.5,13,0.5,0.0,0.23879670546125964,-0.0,0.6218723657690046,-0.0,2.925,0
13,PINN,th0.5,14,0.5,0.0,0.44107370499634835,0.0,0.26191728201568604,-0.0,4.3,0
13,PINN,th0.5,15,0.5,0.0,0.19795539385161975,-0.0,-0.3170776803528994,0.0,5.416666666666667,0
13,PINN,th0.5,16,0.5,0.0,0.42680097167432735,-0.0,-0.5401502003008266,0.0,2.9583333333333335,0
13,PINN,th0.5,17,0.5,0.0,-0.5354243427577073,-0.0,0.4706005184707429,-0.0,1.2333333333333334,0
13,PINN,th0.5,18,0.5,0.0,0.03848427847625574,-0.0,0.627332439680646,0.0,1.8166666666666667,0
13,PINN,th0.5,19,0.5,0.0,-0.45050670109858315,0.0,0.10391632915451555,-0.0,1.8333333333333333,0
13,PINN,th1.0,0,1.0,0.0,-0.9530139207989765,-0.0,1.5941214423708716,-0.0,0.7166666666666667,0
13,PINN,th1.0,1,1.0,0.0,0.3718345785957898,0.0,-0.320680030750455,-0.0,4.625,0
13,PINN,th1.0,2,1.0,0.0,1.4413392709805977,-0.0,-0.07818486833815447,-0.0,1.8416666666666666,0
13,PINN,th1.0,3,1.0,0.0,-0.8315414084272151,0.0,-1.847684477399138,0.0,1.25,0
13,PINN,th1.0,4,1.0,0.0,0.9376023549867885,0.0,0.32332469373302736,0.0,4.633333333333334,0
13,PINN,th1.0,5,1.0,0.0,0.7193867330700133,-0.0,-0.36155416928686906,0.0,2.7083333333333335,0
13,PINN,th1.0,6,1.0,0.0,0.22737939460056056,0.0,0.5885989134910131,0.0,2.933333333333333,0
13,PINN,th1.0,7,1.0,0.0,-0.08077833579293418,-0.0,-0.5036783178073059,-0.0,6.541666666666667,0
13,PINN,th1.0,8,1.0,0.0,-0.861853851794529,0.0,0.5668899375706286,0.0,0.9916666666666667,0
13,PINN,th1.0,9,1.0,0.0,0.5246255153228119,-0.0,1.6172005583545954,-0.0,1.0,0
13,PINN,th1.0,10,1.0,0.0,-1.1256994020229854,-0.0,-1.3137437899216327,-0.0,10.0,1
13,PINN,th1.0,11,1.0,0.0,0.7342004861794527,-0.0,-0.6548694718188105,0.0,1.8416666666666666,0
13,PINN,th1.0,12,1.0,0.0,-0.8488289082130434,-0.0,-0.07753123121846801,0.0,1.8166666666666667,0
13,PINN,th1.0,13,1.0,0.0,0.4775934109225193,-0.0,1.2437447315380092,-0.0,1.225,0
13,PINN,th1.0,14,1.0,0.0,0.8821474099926967,0.0,0.5238345640313721,-0.0,6.533333333333333,0
13,PINN,th1.0,15,1.0,0.0,0.3959107877032395,-0.0,-0.6341553607057988,0.0,2.9583333333333335,0
13,PINN,th1.0,16,1.0,0.0,0.8536019433486547,-0.0,-1.0803004006016532,0.0,1.0083333333333333,0
13,PINN,th1.0,17,1.0,0.0,-1.0708486855154147,-0.0,0.9412010369414858,-0.0,0.7416666666666667,0
13,PINN,th1.0,18,1.0,0.0,0.07696855695251148,-0.0,1.254664879361292,0.0,1.0,0
13,PINN,th1.0,19,1.0,0.0,-0.9010134021971663,0.0,0.2078326583090311,-0.0,1.2333333333333334,0
13,PINN,w0.03,0,0.0,0.03,-0.0,-0.05286673105409318,0.0,-0.006665364589577187,3.2083333333333335,0
13,PINN,w0.03,1,0.0,0.03,0.0,0.010859178964123922,-0.0,-0.000715204488338536,3.825,0
13,PINN,w0.03,2,0.0,0.03,0.0,-0.0020146572515672718,-0.0,-0.01898791242235138,3.816666666666667,0
13,PINN,w0.03,3,0.0,0.03,-0.0,0.052960009904658406,-0.0,0.007599582620390621,4.058333333333334,0
13,PINN,w0.03,4,0.0,0.03,0.0,0.010345885891115045,0.0,0.011855088891292135,3.816666666666667,0
13,PINN,w0.03,5,0.0,0.03,0.0,-0.05179217013236226,-0.0,0.025843084695164806,3.2,0
13,PINN,w0.03,6,0.0,0.03,0.0,0.013925185075404033,0.0,0.0013925913161669703,3.825,0
13,PINN,w0.03,7,0.0,0.03,-0.0,-0.014580968281155685,-0.0,-0.02512559251795815,3.808333333333333,0
13,PINN,w0.03,8,0.0,0.03,-0.0,0.0031197372407925444,0.0,0.01294754261356233,3.808333333333333,0
13,PINN,w0.03,9,0.0,0.03,0.0,-0.04201766530671485,0.0,-0.028070831389948644,3.216666666666667,0
13,PINN,w0.03,10,0.0,0.03,-0.0,-0.008349088535667869,-0.0,-0.04233270377833112,3.825,0
13,PINN,w0.03,11,0.0,0.03,0.0,-0.03699070811677508,-0.0,0.017257203968716685,3.2083333333333335,0
13,PINN,w0.03,12,0.0,0.03,-0.0,-0.02524053123110734,-0.0,0.02524574090522519,3.2083333333333335,0
13,PINN,w0.03,13,0.0,0.03,0.0,-0.00019489496832228716,0.0,-0.04233085316811333,4.05,0
13,PINN,w0.03,14,0.0,0.03,0.0,0.03394970328925879,0.0,-0.02026055425692313,4.066666666666666,0
13,PINN,w0.03,15,0.0,0.03,0.0,-0.023432974513293323,-0.0,0.05443015610455269,3.2,0
13,PINN,w0.03,16,0.0,0.03,0.0,-0.02918906238970637,-0.0,0.021888916709527646,3.2083333333333335,0
13,PINN,w0.03,17,0.0,0.03,-0.0,-0.01751424722629686,0.0,-0.01337316422092978,3.2333333333333334,0
13,PINN,w0.03,18,0.0,0.03,0.0,-0.00929236548841106,0.0,0.02026583066120885,3.216666666666667,0
13,PINN,w0.03,19,0.0,0.03,-0.0,0.0016634060488992996,0.0,-0.023755307788531757,3.825,0
13,PINN,w0.09,0,0.0,0.09,-0.0,-0.15860019316227955,0.0,-0.01999609376873156,2.7,0
13,PINN,w0.09,1,0.0,0.09,0.0,0.032577536892371764,-0.0,-0.0021456134650156083,4.05,0
13,PINN,w0.09,2,0.0,0.09,0.0,-0.006043971754701815,-0.0,-0.05696373726705414,4.058333333333334,0
13,PINN,w0.09,3,0.0,0.09,-0.0,0.15888002971397522,-0.0,0.022798747861171864,5.408333333333333,0
13,PINN,w0.09,4,0.0,0.09,0.0,0.031037657673345136,0.0,0.035565266673876404,3.816666666666667,0
13,PINN,w0.09,5,0.0,0.09,0.0,-0.15537651039708678,-0.0,0.07752925408549442,1.825,0
13,PINN,w0.09,6,0.0,0.09,0.0,0.041775555226212104,0.0,0.004177773948500911,4.058333333333334,0
13,PINN,w0.09,7,0.0,0.09,-0.0,-0.04374290484346705,-0.0,-0.07537677755387445,3.808333333333333,0
13,PINN,w0.09,8,0.0,0.09,-0.0,0.009359211722377633,0.0,0.038842627840687,3.225,0
13,PINN,w0.09,9,0.0,0.09,0.0,-0.12605299592014457,0.0,-0.08421249416984593,3.2,0
13,PINN,w0.09,10,0.0,0.09,-0.0,-0.025047265607003603,-0.0,-0.12699811133499336,4.308333333333334,0
13,PINN,w0.09,11,0.0,0.09,0.0,-0.11097212435032523,-0.0,0.05177161190615006,2.925,0
13,PINN,w0.09,12,0.0,0.09,-0.0,-0.07572159369332203,-0.0,0.07573722271567557,2.933333333333333,0
13,PINN,w0.09,13,0.0,0.09,0.0,-0.0005846849049668615,0.0,-0.12699255950434,4.908333333333333,0
13,PINN,w0.09,14,0.0,0.09,0.0,0.10184910986777636,0.0,-0.06078166277076938,6.308333333333334,0
13,PINN,w0.09,15,0.0,0.09,0.0,-0.07029892353987997,-0.0,0.1632904683136581,1.825,0
13,PINN,w0.09,16,0.0,0.09,0.0,-0.08756718716911911,-0.0,0.06566675012858295,2.933333333333333,0
13,PINN,w0.09,17,0.0,0.09,-0.0,-0.05254274167889058,0.0,-0.040119492662789344,3.216666666666667,0
13,PINN,w0.09,18,0.0,0.09,0.0,-0.02787709646523318,0.0,0.06079749198362655,3.2,0
13,PINN,w0.09,19,0.0,0.09,-0.0,0.004990218146697899,0.0,-0.07126592336559527,4.075,0
13,PINN,w0.2,0,0.0,0.2,-0.0,-0.35244487369395455,0.0,-0.044435763930514585,1.5416666666666667,0
13,PINN,w0.2,1,0.0,0.2,0.0,0.07239452642749282,-0.0,-0.004768029922256907,4.308333333333334,0
13,PINN,w0.2,2,0.0,0.2,0.0,-0.013431048343781813,-0.0,-0.12658608281567588,4.316666666666666,0
13,PINN,w0.2,3,0.0,0.2,-0.0,0.35306673269772276,-0.0,0.050663884135937476,1.55,0
13,PINN,w0.2,4,0.0,0.2,0.0,0.06897257260743364,0.0,0.07903392594194758,3.8333333333333335,0
13,PINN,w0.2,5,0.0,0.2,0.0,-0.34528113421574846,-0.0,0.17228723130109871,0.75,0
13,PINN,w0.2,6,0.0,0.2,0.0,0.09283456716936023,0.0,0.009283942107779802,4.916666666666667,0
13,PINN,w0.2,7,0.0,0.2,-0.0,-0.09720645520770457,-0.0,-0.16750395011972102,3.808333333333333,0
13,PINN,w0.2,8,0.0,0.2,-0.0,0.020798248271950297,0.0,0.08631695075708222,3.2083333333333335,0
13,PINN,w0.2,9,0.0,0.2,0.0,-0.2801177687114324,0.0,-0.18713887593299097,2.6666666666666665,0
13,PINN,w0.2,10,0.0,0.2,-0.0,-0.055660590237785794,-0.0,-0.2822180251888741,8.491666666666667,0
13,PINN,w0.2,11,0.0,0.2,0.0,-0.24660472077850054,-0.0,0.11504802645811125,1.5583333333333333,0
13,PINN,w0.2,12,0.0,0.2,-0.0,-0.16827020820738228,-0.0,0.16830493936816793,1.8083333333333333,0
13,PINN,w0.2,13,0.0,0.2,0.0,-0.0012992997888152478,0.0,-0.2822056877874222,7.141666666666667,0
13,PINN,w0.2,14,0.0,0.2,0.0,0.22633135526172526,0.0,-0.13507036171282086,2.691666666666667,0
13,PINN,w0.2,15,0.0,0.2,0.0,-0.15621983008862217,-0.0,0.3628677073636847,0.7666666666666667,0
13,PINN,w0.2,16,0.0,0.2,0.0,-0.19459374926470915,-0.0,0.145926111396851,1.8083333333333333,0
13,PINN,w0.2,17,0.0,0.2,-0.0,-0.11676164817531241,0.0,-0.08915442813953188,3.2083333333333335,0
13,PINN,w0.2,18,0.0,0.2,0.0,-0.06194910325607374,0.0,0.13510553774139233,1.8416666666666666,0
13,PINN,w0.2,19,0.0,0.2,-0.0,0.011089373659328666,0.0,-0.15836871859021173,7.391666666666667,0
13,PINN,joint_0.45_0.09,0,0.45,0.09,-0.4288562643595394,-0.15860019316227955,0.7173546490668923,-0.01999609376873156,0.7583333333333333,0
13,PINN,joint_0.45_0.09,1,0.45,0.09,0.1673255603681054,0.032577536892371764,-0.14430601383770475,-0.0021456134650156083,6.308333333333334,0
13,PINN,joint_0.45_0.09,2,0.45,0.09,0.6486026719412691,-0.006043971754701815,-0.03518319075216952,-0.05696373726705414,4.616666666666666,0
13,PINN,joint_0.45_0.09,3,0.45,0.09,-0.3741936337922468,0.15888002971397522,-0.8314580148296122,0.022798747861171864,2.3583333333333334,0
13,PINN,joint_0.45_0.09,4,0.45,0.09,0.4219210597440548,0.031037657673345136,0.14549611217986233,0.035565266673876404,6.541666666666667,0
13,PINN,joint_0.45_0.09,5,0.45,0.09,0.32372402988150606,-0.15537651039708678,-0.16269937617909108,0.07752925408549442,3.216666666666667,0
13,PINN,joint_0.45_0.09,6,0.45,0.09,0.10232072757025226,0.041775555226212104,0.2648695110709559,0.004177773948500911,3.216666666666667,0
13,PINN,joint_0.45_0.09,7,0.45,0.09,-0.036350251106820386,-0.04374290484346705,-0.22665524301328765,-0.07537677755387445,4.9,0
13,PINN,joint_0.45_0.09,8,0.45,0.09,-0.3878342333075381,0.009359211722377633,0.25510047190678287,0.038842627840687,1.8166666666666667,0
13,PINN,joint_0.45_0.09,9,0.45,0.09,0.23608148189526537,-0.12605299592014457,0.727740251259568,-0.08421249416984593,1.825,0
13,PINN,joint_0.45_0.09,10,0.45,0.09,-0.5065647309103435,-0.025047265607003603,-0.5911847054647348,-0.12699811133499336,10.0,1
13,PINN,joint_0.45_0.09,11,0.45,0.09,0.33039021878075375,-0.11097212435032523,-0.2946912623184647,0.05177161190615006,4.916666666666667,0
13,PINN,joint_0.45_0.09,12,0.45,0.09,-0.3819730086958695,-0.07572159369332203,-0.03488905404831061,0.07573722271567557,1.8166666666666667,0
13,PINN,joint_0.45_0.09,13,0.45,0.09,0.2149170349151337,-0.0005846849049668615,0.5596851291921042,-0.12699255950434,3.2083333333333335,0
13,PINN,joint_0.45_0.09,14,0.45,0.09,0.39696633449671354,0.10184910986777636,0.23572555381411747,-0.06078166277076938,4.633333333333334,0
13,PINN,joint_0.45_0.09,15,0.45,0.09,0.1781598544664578,-0.07029892353987997,-0.2853699123176095,0.1632904683136581,3.808333333333333,0
13,PINN,joint_0.45_0.09,16,0.45,0.09,0.38412087450689464,-0.08756718716911911,-0.4861351802707439,0.06566675012858295,6.025,0
13,PINN,joint_0.45_0.09,17,0.45,0.09,-0.4818819084819367,-0.05254274167889058,0.4235404666236686,-0.040119492662789344,1.8,0
13,PINN,joint_0.45_0.09,18,0.45,0.09,0.03463585062863017,-0.02787709646523318,0.5645991957125814,0.06079749198362655,1.2416666666666667,0
13,PINN,joint_0.45_0.09,19,0.45,0.09,-0.4054560309887248,0.004990218146697899,0.093524696239064,-0.07126592336559527,2.941666666666667,0
13,PINN,det_joint_0.45_0.09,0,0.45,0.09,0.45,0.09,0.45,0.09,4.033333333333333,0
13,MLP_lam0,clean,0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1
13,MLP_lam0,th0.1,0,0.1,0.0,-0.09530139207989764,-0.0,0.1594121442370872,-0.0,7.133333333333334,0
13,MLP_lam0,th0.1,1,0.1,0.0,0.037183457859578974,0.0,-0.0320680030750455,-0.0,10.0,1
13,MLP_lam0,th0.1,2,0.1,0.0,0.14413392709805978,-0.0,-0.007818486833815447,-0.0,4.933333333333334,0
13,MLP_lam0,th0.1,3,0.1,0.0,-0.08315414084272152,0.0,-0.18476844773991383,0.0,10.0,1
13,MLP_lam0,th0.1,4,0.1,0.0,0.09376023549867885,0.0,0.03233246937330273,0.0,10.0,1
13,MLP_lam0,th0.1,5,0.1,0.0,0.07193867330700134,-0.0,-0.03615541692868691,0.0,10.0,1
13,MLP_lam0,th0.1,6,0.1,0.0,0.022737939460056058,0.0,0.058859891349101315,0.0,10.0,1
13,MLP_lam0,th0.1,7,0.1,0.0,-0.008077833579293418,-0.0,-0.050367831780730586,-0.0,10.0,1
13,MLP_lam0,th0.1,8,0.1,0.0,-0.0861853851794529,0.0,0.05668899375706286,0.0,9.958333333333334,0
13,MLP_lam0,th0.1,9,0.1,0.0,0.05246255153228119,-0.0,0.16172005583545956,-0.0,10.0,1
13,MLP_lam0,th0.1,10,0.1,0.0,-0.11256994020229853,-0.0,-0.13137437899216328,-0.0,10.0,1
13,MLP_lam0,th0.1,11,0.1,0.0,0.07342004861794527,-0.0,-0.06548694718188106,0.0,10.0,1
13,MLP_lam0,th0.1,12,0.1,0.0,-0.08488289082130433,-0.0,-0.007753123121846801,0.0,10.0,1
13,MLP_lam0,th0.1,13,0.1,0.0,0.04775934109225193,-0.0,0.12437447315380093,-0.0,10.0,1
13,MLP_lam0,th0.1,14,0.1,0.0,0.08821474099926968,0.0,0.052383456403137206,-0.0,10.0,1
13,MLP_lam0,th0.1,15,0.1,0.0,0.03959107877032395,-0.0,-0.06341553607057988,0.0,10.0,1
13,MLP_lam0,th0.1,16,0.1,0.0,0.08536019433486548,-0.0,-0.10803004006016532,0.0,4.916666666666667,0
13,MLP_lam0,th0.1,17,0.1,0.0,-0.10708486855154146,-0.0,0.09412010369414857,-0.0,7.383333333333334,0
13,MLP_lam0,th0.1,18,0.1,0.0,0.007696855695251149,-0.0,0.12546648793612922,0.0,10.0,1
13,MLP_lam0,th0.1,19,0.1,0.0,-0.09010134021971662,0.0,0.02078326583090311,-0.0,9.966666666666667,0
13,MLP_lam0,th0.45,0,0.45,0.0,-0.4288562643595394,-0.0,0.7173546490668923,-0.0,1.2416666666666667,0
13,MLP_lam0,th0.45,1,0.45,0.0,0.1673255603681054,0.0,-0.14430601383770475,-0.0,3.841666666666667,0
13,MLP_lam0,th0.45,2,0.45,0.0,0.6486026719412691,-0.0,-0.03518319075216952,-0.0,2.95,0
13,MLP_lam0,th0.45,3,0.45,0.0,-0.3741936337922468,0.0,-0.8314580148296122,0.0,3.2333333333333334,0
13,MLP_lam0,th0.45,4,0.45,0.0,0.4219210597440548,0.0,0.14549611217986233,0.0,3.841666666666667,0
13,MLP_lam0,th0.45,5,0.45,0.0,0.32372402988150606,-0.0,-0.16269937617909108,0.0,2.975,0
13,MLP_lam0,th0.45,6,0.45,0.0,0.10232072757025226,0.0,0.2648695110709559,0.0,7.4,0
13,MLP_lam0,th0.45,7,0.45,0.0,-0.036350251106820386,-0.0,-0.22665524301328765,-0.0,4.916666666666667,0
13,MLP_lam0,th0.45,8,0.45,0.0,-0.3878342333075381,0.0,0.25510047190678287,0.0,3.225,0
13,MLP_lam0,th0.45,9,0.45,0.0,0.23608148189526537,-0.0,0.727740251259568,-0.0,3.8333333333333335,0
13,MLP_lam0,th0.45,10,0.45,0.0,-0.5065647309103435,-0.0,-0.5911847054647348,-0.0,9.966666666666667,0
13,MLP_lam0,th0.45,11,0.45,0.0,0.33039021878075375,-0.0,-0.2946912623184647,0.0,2.95,0
13,MLP_lam0,th0.45,12,0.45,0.0,-0.3819730086958695,-0.0,-0.03488905404831061,0.0,6.883333333333334,0
13,MLP_lam0,th0.45,13,0.45,0.0,0.2149170349151337,-0.0,0.5596851291921042,-0.0,4.3,0
13,MLP_lam0,th0.45,14,0.45,0.0,0.39696633449671354,0.0,0.23572555381411747,-0.0,4.925,0
13,MLP_lam0,th0.45,15,0.45,0.0,0.1781598544664578,-0.0,-0.2853699123176095,0.0,3.225,0
13,MLP_lam0,th0.45,16,0.45,0.0,0.38412087450689464,-0.0,-0.4861351802707439,0.0,1.8416666666666666,0
13,MLP_lam0,th0.45,17,0.45,0.0,-0.4818819084819367,-0.0,0.4235404666236686,-0.0,2.933333333333333,0
13,MLP_lam0,th0.45,18,0.45,0.0,0.03463585062863017,-0.0,0.5645991957125814,0.0,3.816666666666667,0
13,MLP_lam0,th0.45,19,0.45,0.0,-0.4054560309887248,0.0,0.093524696239064,-0.0,3.8333333333333335,0
13,MLP_lam0,th0.5,0,0.5,0.0,-0.47650696039948826,-0.0,0.7970607211854358,-0.0,1.225,0
13,MLP_lam0,th0.5,1,0.5,0.0,0.1859172892978949,0.0,-0.1603400153752275,-0.0,3.8333333333333335,0
13,MLP_lam0,th0.5,2,0.5,0.0,0.7206696354902988,-0.0,-0.039092434169077234,-0.0,2.7083333333333335,0
13,MLP_lam0,th0.5,3,0.5,0.0,-0.41577070421360757,0.0,-0.923842238699569,0.0,2.966666666666667,0
13,MLP_lam0,th0.5,4,0.5,0.0,0.4688011774933942,0.0,0.16166234686651368,0.0,3.8333333333333335,0
13,MLP_lam0,th0.5,5,0.5,0.0,0.35969336653500666,-0.0,-0.18077708464343453,0.0,2.9583333333333335,0
13,MLP_lam0,th0.5,6,0.5,0.0,0.11368969730028028,0.0,0.29429945674550656,0.0,7.391666666666667,0
13,MLP_lam0,th0.5,7,0.5,0.0,-0.04038916789646709,-0.0,-0.25183915890365294,-0.0,4.333333333333333,0
13,MLP_lam0,th0.5,8,0.5,0.0,-0.4309269258972645,0.0,0.2834449687853143,0.0,3.2083333333333335,0
13,MLP_lam0,th0.5,9,0.5,0.0,0.26231275766140594,-0.0,0.8086002791772977,-0.0,3.816666666666667,0
13,MLP_lam0,th0.5,10,0.5,0.0,-0.5628497010114927,-0.0,-0.6568718949608163,-0.0,9.966666666666667,0
13,MLP_lam0,th0.5,11,0.5,0.0,0.36710024308972633,-0.0,-0.32743473590940525,0.0,2.95,0
13,MLP_lam0,th0.5,12,0.5,0.0,-0.4244144541065217,-0.0,-0.03876561560923401,0.0,4.308333333333334,0
