side,subset,model,level,sigma_theta_deg,sigma_omega,n,median,q25,q75,mean,std,min,max,cens_frac,median_of_trial_medians,n_trials,median_vs_ideal
insim,all50,Hybrid,th0.45,0.45,0.0,1000.0,3.35,2.066666666666667,6.529166666666667,4.4888916666666665,3.123184826076234,0.3416666666666667,10.0,0.175,3.377083333333333,50.0,
insim,all50,Hybrid,th0.5,0.5,0.0,1000.0,3.2958333333333334,1.90625,6.3687499999999995,4.387166666666666,3.1356306935787543,0.3333333333333333,10.0,0.164,3.2916666666666665,50.0,
insim,all50,Hybrid,th1.0,1.0,0.0,1000.0,2.4166666666666665,1.1916666666666667,4.79375,3.5461499999999995,3.104846027980869,0.21666666666666667,10.0,0.122,2.03125,50.0,
insim,all50,Hybrid,w0.03,0.0,0.03,1000.0,3.6666666666666665,2.975,6.133333333333333,4.7358666666666664,2.914931625411696,0.5666666666666667,10.0,0.188,3.6604166666666664,50.0,
insim,all50,Hybrid,w0.09,0.0,0.09,1000.0,3.4,2.283333333333333,5.902083333333334,4.371974999999999,2.890802083035174,0.25833333333333336,10.0,0.136,3.4875,50.0,
insim,all50,Hybrid,w0.2,0.0,0.2,1000.0,2.6333333333333333,1.3583333333333334,4.6,3.4649666666666668,2.810680068793989,0.14166666666666666,10.0,0.088,2.825,50.0,
insim,all50,Hybrid,joint_0.45_0.09,0.45,0.09,1000.0,2.8875,1.775,5.377083333333333,3.9429250000000002,2.982023801379469,0.21666666666666667,10.0,0.128,3.114583333333333,50.0,
insim,all50,Hybrid,det_joint_0.45_0.09,0.45,0.09,50.0,3.25,2.1604166666666664,4.516666666666667,3.839,2.547014525517528,0.5166666666666667,10.0,0.1,3.25,50.0,
insim,chaos_pinn,Hybrid,clean,0.0,0.0,49.0,3.691666666666667,3.1416666666666666,6.2,4.806802721088436,2.9167974541457213,0.6083333333333333,10.0,0.1836734693877551,3.691666666666667,49.0,
insim,chaos_pinn,Hybrid,th0.1,0.1,0.0,980.0,3.683333333333333,2.98125,5.914583333333333,4.693520408163265,2.861712948177572,0.49166666666666664,10.0,0.17755102040816326,3.683333333333333,49.0,
insim,chaos_pinn,Hybrid,th0.45,0.45,0.0,980.0,3.325,2.05,6.2,4.376420068027211,3.0529354265931787,0.3416666666666667,10.0,0.15816326530612246,3.341666666666667,49.0,
insim,chaos_pinn,Hybrid,th0.5,0.5,0.0,980.0,3.2666666666666666,1.8833333333333333,6.125,4.272619047619048,3.062076673912247,0.3333333333333333,10.0,0.1469387755102041,3.283333333333333,49.0,
insim,chaos_pinn,Hybrid,th1.0,1.0,0.0,980.0,2.35,1.18125,4.3875,3.417491496598639,2.999970838854266,0.21666666666666667,10.0,0.10510204081632653,1.9958333333333333,49.0,
insim,chaos_pinn,Hybrid,w0.03,0.0,0.03,980.0,3.658333333333333,2.8979166666666667,5.8,4.62843537414966,2.8447749545159544,0.5666666666666667,10.0,0.17142857142857143,3.658333333333333,49.0,
insim,chaos_pinn,Hybrid,w0.09,0.0,0.09,980.0,3.354166666666667,2.252083333333333,5.727083333333333,4.257117346938775,2.8048473661543887,0.25833333333333336,10.0,0.11836734693877551,3.4625,49.0,
insim,chaos_pinn,Hybrid,w0.2,0.0,0.2,980.0,2.595833333333333,1.35,4.435416666666667,3.3397023809523816,2.686028626737086,0.14166666666666666,10.0,0.07040816326530612,2.7625,49.0,
insim,chaos_pinn,Hybrid,joint_0.45_0.09,0.45,0.09,980.0,2.8208333333333337,1.7229166666666667,5.052083333333333,3.819311224489796,2.8825911154833475,0.21666666666666667,10.0,0.11020408163265306,3.083333333333333,49.0,
insim,chaos_pinn,Hybrid,det_joint_0.45_0.09,0.45,0.09,49.0,3.2083333333333335,2.158333333333333,4.416666666666667,3.7132653061224485,2.4115360518837674,0.5166666666666667,10.0,0.08163265306122448,3.2083333333333335,49.0,
insim,chaos_own,Hybrid,clean,0.0,0.0,40.0,3.5,3.0395833333333333,3.9270833333333335,3.638333333333333,1.6873089213334336,0.6083333333333333,8.85,0.0,3.5,40.0,
