protocol,level_deg,rep,delta_th1_deg,delta_th2_deg,horizon_s,censored,s0_err_seen_by_model_deg,traj_drift_at_t20_th1_deg,traj_drift_at_t20_th2_deg,ref_horizon_s
old,1.0,8,-1.3226996123544024,-0.9972468276014818,3.066666666666667,0,0.0,4.4230243733748775,1.719454503645934,5.841666666666667
old,1.0,9,0.3997742267234366,-0.9054790553600608,3.5,0,0.0,38.49150203862548,67.89916347379918,5.841666666666667
old,1.0,10,-0.3781625540393897,1.2992282977860654,4.675,0,0.0,29.17364349151032,55.241751368927176,5.841666666666667
old,1.0,11,-0.35626397106142593,0.7375155684670865,3.975,0,0.0,1.6858569550561813,5.174917250705689,5.841666666666667
old,1.0,12,-0.933617680009877,-0.20543755786763002,3.8,0,0.0,6.893070273364381,21.998854402846305,5.841666666666667
old,1.0,13,-0.9500220549105812,-0.3390330759005625,4.091666666666667,0,0.0,7.050994652509513,21.836504690665667,5.841666666666667
old,1.0,14,0.8403081374573955,-1.7273204231923487,2.8333333333333335,0,0.0,21.62419710867212,40.43329072878622,5.841666666666667
old,1.0,15,0.43442364354585733,0.2377356023322779,5.066666666666666,0,0.0,3.6935954919429035,8.828577578034347,5.841666666666667
old,1.0,16,-0.5941499556967944,-1.4460578543884546,2.3833333333333333,0,0.0,38.73088598534921,61.62434982573064,5.841666666666667
old,1.0,17,0.07212950771386951,-0.5294927090638024,2.558333333333333,0,0.0,30.405561039655343,54.69617699701311,5.841666666666667
old,1.0,18,0.23267621135470395,0.02185214552344288,2.2333333333333334,0,0.0,10.59831240705328,21.162179300031028,5.841666666666667
old,1.0,19,1.6017788913209154,-0.23935562747302427,4.675,0,0.0,37.46547732127407,71.67485319805344,5.841666666666667
